word,count_word
purus,20
est,10
mattis,10
phasellus,7
rhoncus,12
cubilia,11
nunc,12
at,11
interdum,18
ante,13
ac.,2
amet,11
congue,10
justo,11
"eget,",2
vitae,14
lacus,7
sociis,16
quisque,18
inceptos,16
MAIORES QUE 10,121
etiam,18
augue,9
eget,12
conubia,15
odio,17
feugiat,12
venenatis.,4
class,10
convallis,15
diam,20
in,13
cubilia.,4
ante.,5
porttitor,15
"proin,",2
sodales,13
integer,16
"ultricies,",2
ipsum,7
quam,8
vivamus.,3
nascetur,22
sagittis,11
rutrum.,3
fringilla,10
malesuada,13
lectus,11
potenti,7
nibh,11
netus.,3
rutrum,14
commodo,7
nulla,5
"magnis,",2
natoque,14
"faucibus,",1
facilisi.,1
fermentum,17
nisi,6
sapien,14
metus,8
mi,10
suscipit.,5
"facilisi,",1
habitant,17
litora,14
aenean,9
curae;,15
urna,16
nunc.,1
pede,9
varius,11
cras,7
hac,9
"convallis,",1
suscipit,7
tellus,18
cursus.,3
lacinia,10
dis,16
faucibus,10
mus,9
cursus,9
accumsan.,2
habitasse,12
nibh.,1
primis,6
"lectus,",1
ipsum.,3
bibendum.,2
leo,15
magna,5
erat,10
"",7
dui.,3
fusce.,2
sed,8
bibendum,9
nullam.,2
venenatis,14
"netus,",1
felis,11
mollis,16
lobortis,4
lacinia.,1
vulputate,7
platea.,1
maecenas,13
ornare,5
dictum,11
quis,8
hymenaeos.,1
at.,1
molestie,9
"quisque,",2
facilisis.,1
sit.,3
habitasse.,2
dapibus,14
nonummy,11
fringilla.,2
massa.,1
iaculis,6
ligula.,1
duis,16
"tempus,",3
ornare.,2
"porta,",1
sodales.,1
donec.,2
iaculis.,1
mollis.,1
volutpat.,4
"habitant,",1
"orci,",1
nam.,3
ad.,1
nostra,7
potenti.,3
"dictumst,",3
quisque.,1
facilisi,6
"conubia,",1
"nonummy,",1
pharetra.,1
enim.,2
ut.,1
commodo.,1
"dolor,",1
"tellus,",2
pretium.,1
convallis.,1
"curabitur,",1
dignissim.,2
"euismod,",1
purus.,1
elit.,2
dictum.,3
primis.,1
lacus.,3
"vulputate,",1
"ac,",1
"commodo,",1
dictumst.,1
cum.,3
"aenean,",1
neque.,2
"nullam,",1
sapien.,3
"congue,",2
erat.,2
elementum.,1
inceptos.,2
"enim,",1
"sapien,",1
"est,",1
etiam.,3
"nisi,",1
eget.,2
pulvinar.,3
"auctor,",1
"nostra,",1
montes.,1
lorem.,1
amet.,1
tincidunt.,1
"eros,",1
feugiat.,1
et.,1
vulputate.,1
"fermentum,",1
consequat.,1
"libero,",1
"lorem,",1
"mus,",1
"potenti,",1
"molestie,",1
nostra.,1
"ligula,",1
"leo,",1
hendrerit.,4
montes,21
luctus,13
"dictum,",1
dignissim,8
sit,16
vivamus,19
elementum,7
egestas,15
per,11
eleifend,11
vel,15
proin,5
placerat.,2
ultrices,7
aenean.,2
donec,15
neque,8
ac,11
ultrices.,3
nisl.,1
semper,15
netus,13
aliquet,10
eros,12
viverra,13
auctor.,1
tortor,9
posuere,12
sociosqu,11
lectus.,3
eu,13
nec,14
tempor,11
facilisis,14
turpis,11
"platea,",1
ut,10
ligula,10
sem,10
dictumst,5
arcu.,7
cum,9
"penatibus,",1
orci,16
placerat,16
morbi,10
pulvinar,10
massa,7
a,17
dapibus.,2
volutpat,10
dolor,13
laoreet,19
pharetra,10
vehicula,14
velit,12
vestibulum,10
dui,13
proin.,2
quam.,3
ad,13
tristique,10
nullam,10
aliquam,11
porta,12
non.,2
pretium,9
ultricies,11
blandit,12
hymenaeos,12
enim,14
tempus,16
euismod,7
platea,9
tincidunt,9
nisl,7
magnis,13
eros.,1
et,13
torquent,13
eleifend.,2
penatibus.,3
tempus.,1
elit,11
taciti,11
imperdiet,11
mauris,11
lorem,11
nulla.,1
urna.,3
praesent,18
fusce,5
ridiculus.,2
senectus,11
adipiscing,12
"iaculis,",2
non,11
aptent,11
"vitae,",2
"odio,",2
natoque.,3
aliquam.,2
sed.,2
hendrerit,17
"lacinia,",2
pede.,2
accumsan,8
auctor,8
penatibus,9
id,11
fames,6
taciti.,2
gravida,5
hac.,6
consequat,10
"sagittis,",1
curabitur,9
faucibus.,1
libero,10
arcu,10
vehicula.,1
ridiculus,7
rhoncus.,4
risus.,3
risus,9
cras.,2
"praesent,",1
habitant.,3
parturient,8
nam,7
morbi.,4
a.,1
"pretium,",1
laoreet.,3
porttitor.,1
mattis.,1
litora.,1
maecenas.,1
sociis.,1
"arcu,",1
"nulla,",1
dolor.,1
fermentum.,2
dis.,1
lobortis.,3
phasellus.,1
"at,",2
"nascetur,",3
nisi.,1
"neque,",2
fames.,2
"rhoncus,",2
"suscipit,",1
"a,",1
sagittis.,1
"cum,",1
turpis.,1
vel.,3
in.,1
duis.,2
varius.,1
"quis,",1
leo.,1
eu.,1
egestas.,1
"curae;,",2
integer.,1
tortor.,1
orci.,1
per.,1
odio.,1
"semper,",1
"erat,",1
"tristique,",1
nec.,1
"porttitor,",1
"dapibus,",1
praesent.,2
curae;.,1
"aliquam,",1
"pulvinar,",1
